,Test Y,Model Predictions
0,63,50.34207
1,2,0.955295
2,3,4.682436
3,0,4.9254327
4,3,5.0493984
5,0,0.69840103
6,0,1.1664984
7,1,0.56962335
8,1,0.6799031
9,0,0.56057274
10,2,1.302693
11,2,1.5683079
12,0,0.9675537
13,0,0.6834573
14,1,1.4988828
15,0,1.4939572
16,1,1.8957598
17,1,1.0703313
18,1,1.5833342
19,1,1.2031968
20,0,1.2850974
21,0,1.3030748
22,1,1.1356721
23,0,1.2861187
24,0,2.2079873
25,0,1.3711615
26,0,0.91501355
27,2,1.7874047
28,3,2.2412486
29,0,1.8775952
30,0,1.6841424
31,1,1.6547377
32,1,2.9695694
33,1,2.902431
34,0,2.7966156
35,3,4.418903
36,0,2.0552921
37,3,2.6721458
38,0,1.3093987
39,1,1.6114349
40,0,1.7043142
41,3,3.241284
42,3,3.2024193
43,0,1.7867053
44,2,2.771914
45,0,2.1058302
46,0,1.4875469
47,0,1.7995992
48,0,3.1607208
49,0,1.8715142
50,3,3.3675356
51,2,2.516933
52,0,1.4802997
53,2,2.9136355
54,0,1.3396549
55,0,1.1827406
56,0,2.3132946
57,0,1.3320785
58,1,2.1983411
59,0,1.2956023
60,1,2.4686685
61,1,1.7941613
62,2,2.535936
63,0,0.54794633
64,0,0.6816137
65,0,0.8677716
66,1,1.1455961
67,3,1.3531914
68,1,0.5701574
69,4,3.8898935
70,0,0.58129996
71,1,1.2289938
72,1,1.1819756
73,2,1.625561
74,4,2.2158422
75,0,1.2512487
76,2,5.6785192
77,0,1.5381842
78,1,1.1973987
79,0,2.0989027
80,2,1.9820262
81,6,1.9089789
82,1,2.1468782
83,0,3.8469434
84,3,1.1134262
85,0,1.5056399
86,0,2.0239868
87,2,2.02171
88,1,1.6247426
89,0,2.9313598
90,3,5.1069584
91,0,3.148975
92,0,4.1157713
93,3,3.322825
94,0,0.95850074
95,0,4.273562
96,0,4.4559026
97,0,5.892661
98,0,4.9212976
99,1,2.5918493
100,0,1.7502526
101,2,2.740397
102,1,3.9610114
103,0,4.4408803
104,1,2.001215
105,0,4.5586224
106,2,1.668698
107,0,3.3890707
108,0,3.074281
109,0,4.617307
110,0,1.1757996
111,0,2.3442068
112,0,2.7287378
113,0,3.0205479
114,0,2.1534066
115,0,0.8608686
116,2,0.93448555
117,3,4.7393937
118,0,0.7925677
119,0,0.89777404
120,1,0.842858
121,1,0.7916939
122,0,0.8005694
123,1,0.7360255
124,0,1.0987855
125,0,1.5405941
126,0,0.6413245
127,0,0.78052133
128,1,1.7383485
129,1,1.7728143
130,1,0.6965868
131,1,1.8972592
132,1,0.70972127
133,0,0.8541393
134,1,1.6131434
135,0,0.754102
136,0,0.8517239
137,1,0.767786
138,2,4.301991
139,1,1.2277237
140,8,7.8640084
141,1,0.8195729
142,3,5.393432
143,0,0.7558253
144,1,2.6473997
145,0,1.343663
146,0,1.0266241
147,0,0.8972856
148,0,0.75972134
149,0,0.8141571
150,1,2.3989797
151,2,0.90793455
152,2,2.2979488
153,0,1.1575466
154,1,0.0
155,1,1.8127894
156,6,4.362996
157,0,1.0192767
158,3,0.80786204
159,2,0.43208194
160,1,0.2367146
161,2,4.715896
162,1,1.3578775
163,0,0.52184385
164,1,0.43456113
165,3,4.1032386
166,7,3.0142212
167,0,0.71984863
168,0,0.4512161
169,1,3.7621489
170,1,2.4521313
171,1,6.963411
172,3,3.9497457
173,3,3.7955437
174,1,1.882576
175,1,1.7567866
176,1,2.4299679
177,1,0.3937887
178,1,3.0192895
179,1,0.5253806
180,1,0.50497484
181,1,0.6157361
182,0,1.0719455
183,0,5.1182513
184,1,1.2199444
185,2,3.74781
186,14,16.982859
187,154,120.478165
188,2,1.8440146
189,9,5.29167
190,1,2.0786502
191,2,3.3836136
192,0,1.6260862
193,3,1.1265314
194,0,0.7998155
195,1,1.5159028
196,1,1.0663512
197,0,1.353159
198,0,1.2243342
199,0,1.0484278
200,0,0.72548157
201,0,1.0690763
202,1,1.2925816
203,0,1.0120728
204,0,0.7006862
205,1,1.4440336
206,3,3.0317729
207,0,1.2131269
208,0,0.83400035
209,14,7.0352507
210,6,4.3070765
211,0,1.2691295
212,1,0.98840034
213,0,0.76797503
214,1,0.6599869
215,2,2.4163995
216,0,0.6217626
217,0,1.3270054
218,1,1.1775346
219,1,0.58392763
220,0,0.656896
221,0,0.6268631
222,0,1.7315917
223,0,0.60907125
224,2,1.3937178
225,0,0.7506798
226,4,3.0726109
227,0,0.734151
228,0,2.071275
229,0,0.5143777
230,0,0.6098547
231,6,4.7076654
232,0,1.0030763
233,0,0.8048868
234,1,0.74844337
235,1,1.5804758
236,1,1.1402259
237,0,1.1221578
