Bezirk;Land;RB;Kreis;Gem;Bezeichnung;Bevölkerung;PLZ;Grad_Verstädterung
0;14;5.0;11.0;0.0;Chemnitz, Stadt;244401.0;9111.0;1.0
1;14;5.0;21.0;10.0;Amtsberg;3676.0;9439.0;2.0
1;14;5.0;21.0;20.0;Annaberg-Buchholz, Stadt;19393.0;9456.0;2.0
1;14;5.0;21;30;Aue;19124;8280;2
1;14;5.0;21.0;35.0;Aue-Bad Schlema, Stadt;20084.0;8280.0;2.0
1;14;5;21;50;Bad Schlema;5649;8301;2
1;14;5.0;21.0;110.0;Breitenbrunn/Erzgeb.;5157.0;8359.0;3.0
1;14;5.0;21.0;130.0;Crottendorf;3976.0;9474.0;3.0
1;14;5.0;21.0;150.0;Drebach;5080.0;9430.0;3.0
1;14;5.0;21.0;160.0;Ehrenfriedersdorf, Stadt;4638.0;9427.0;2.0
1;14;5.0;21.0;170.0;Eibenstock, Stadt;7193.0;8309.0;3.0
1;14;5.0;21.0;200.0;Gelenau/Erzgeb.;4104.0;9423.0;2.0
1;14;5.0;21.0;240.0;Großolbersdorf;2773.0;9432.0;3.0
1;14;5.0;21.0;250.0;Großrückerswalde;3353.0;9518.0;3.0
1;14;5.0;21.0;260.0;Grünhain-Beierfeld, Stadt;5768.0;8344.0;2.0
1;14;5.0;21.0;290.0;Hohndorf;3461.0;9394.0;2.0
1;14;5.0;21.0;310.0;Jahnsdorf/Erzgeb.;5450.0;9387.0;3.0
1;14;5.0;21.0;320.0;Johanngeorgenstadt, Stadt;3879.0;8349.0;3.0
1;14;5.0;21.0;330.0;Jöhstadt, Stadt;2569.0;9477.0;3.0
1;14;5.0;21.0;355.0;Lauter-Bernsbach, Stadt;8524.0;8315.0;2.0
1;14;5.0;21.0;370.0;Lößnitz, Stadt;8074.0;8294.0;2.0
1;14;5.0;21.0;390.0;Marienberg, Stadt;16716.0;9496.0;3.0
1;14;5.0;21.0;400.0;Mildenau;3388.0;9456.0;3.0
1;14;5.0;21.0;410.0;Neukirchen/Erzgeb.;7000.0;9221.0;2.0
1;14;5.0;21.0;440.0;Oberwiesenthal, Kurort, Stadt;2055.0;9484.0;3.0
1;14;5.0;21.0;450.0;Oelsnitz/Erzgeb., Stadt;10983.0;9376.0;2.0
1;14;5.0;21.0;460.0;Olbernhau, Stadt;10694.0;9526.0;2.0
1;14;5;21;470.0;Pfaffroda;3293;9526.0;2
1;14;5.0;21.0;495.0;Pockau-Lengefeld, Stadt;7472.0;9514.0;3.0
1;14;5.0;21.0;500.0;Raschau-Markersbach;4948.0;8352.0;2.0
1;14;5.0;21.0;530.0;Schneeberg, Stadt;13790.0;8289.0;2.0
1;14;5.0;21.0;540.0;Schönheide;4289.0;8304.0;2.0
1;14;5.0;21.0;550.0;Schwarzenberg/Erzgeb., Stadt;16168.0;8340.0;2.0
1;14;5.0;21.0;560.0;Sehmatal;6307.0;9465.0;2.0
1;14;5.0;21.0;600.0;Stützengrün;3104.0;8328.0;3.0
1;14;5.0;21.0;620.0;Thalheim/Erzgeb., Stadt;5968.0;9380.0;2.0
1;14;5.0;21.0;630.0;Thermalbad Wiesenbad;3207.0;9488.0;3.0
1;14;5.0;21.0;640.0;Thum, Stadt;5056.0;9419.0;2.0
1;14;5.0;21.0;670.0;Wolkenstein, Stadt;3886.0;9429.0;3.0
1;14;5.0;21.0;60.0;Bärenstein;2288.0;9471.0;3.0
1;14;5.0;21.0;340.0;Königswalde;2196.0;9471.0;3.0
1;14;5.0;21.0;40.0;Auerbach;2432.0;9392.0;2.0
1;14;5.0;21.0;120.0;Burkhardtsdorf;6091.0;9235.0;2.0
1;14;5.0;21.0;230.0;Gornsdorf;1897.0;9390.0;2.0
1;14;5.0;21.0;210.0;Geyer, Stadt;3385.0;9468.0;3.0
1;14;5.0;21.0;610.0;Tannenberg;1079.0;9468.0;3.0
1;14;5.0;21.0;380.0;Lugau/Erzgeb., Stadt;7907.0;9385.0;2.0
1;14;5.0;21.0;430.0;Niederwürschnitz;2573.0;9399.0;2.0
1;14;5.0;21.0;510.0;Scheibenberg, Stadt;2054.0;9481.0;2.0
1;14;5.0;21.0;520.0;Schlettau, Stadt;2345.0;9487.0;3.0
1;14;5.0;21.0;140.0;Deutschneudorf;970.0;9548.0;3.0
1;14;5.0;21.0;280.0;Heidersdorf;777.0;9526.0;3.0
1;14;5.0;21.0;570.0;Seiffen/Erzgeb., Kurort;2076.0;9548.0;3.0
1;14;5.0;21.0;420.0;Niederdorf;1310.0;9366.0;2.0
1;14;5.0;21.0;590.0;Stollberg/Erzgeb., Stadt;11235.0;9366.0;2.0
1;14;5.0;21.0;220.0;Gornau/Erzgeb.;3749.0;9405.0;3.0
1;14;5.0;21.0;690.0;Zschopau, Stadt;9024.0;9405.0;2.0
1;14;5.0;21.0;80.0;Bockau;2200.0;8324.0;3.0
1;14;5.0;21.0;700.0;Zschorlau;5165.0;8321.0;2.0
1;14;5.0;21.0;180.0;Elterlein, Stadt;2809.0;9481.0;3.0
1;14;5.0;21.0;710.0;Zwönitz, Stadt;11861.0;8297.0;2.0
1;14;5.0;21.0;90.0;Börnichen/Erzgeb.;972.0;9437.0;3.0
1;14;5.0;21.0;270.0;Grünhainichen;3339.0;9579.0;3.0
2;14;5.0;22.0;20.0;Augustusburg, Stadt;4508.0;9573.0;3.0
2;14;5.0;22.0;35.0;Bobritzsch-Hilbersdorf;5622.0;9627.0;3.0
2;14;5.0;22.0;50.0;Brand-Erbisdorf, Stadt;9145.0;9618.0;2.0
2;14;5.0;22.0;70.0;Claußnitz;3004.0;9236.0;2.0
2;14;5.0;22.0;80.0;Döbeln, Stadt;23467.0;4720.0;2.0
2;14;5.0;22.0;110.0;Eppendorf;4013.0;9575.0;3.0
2;14;5.0;22.0;120.0;Erlau;3141.0;9306.0;3.0
2;14;5.0;22.0;140.0;Flöha, Stadt;10607.0;9557.0;2.0
2;14;5.0;22.0;150.0;Frankenberg/Sa., Stadt;13784.0;9669.0;2.0
2;14;5.0;22.0;170.0;Frauenstein, Stadt;2733.0;9623.0;3.0
2;14;5.0;22.0;180.0;Freiberg, Stadt, Universitätsstadt;39948.0;9599.0;2.0
2;14;5.0;22.0;190.0;Geringswalde, Stadt;4212.0;9326.0;3.0
2;14;5.0;22.0;200.0;Großhartmannsdorf;2465.0;9618.0;3.0
2;14;5.0;22.0;210.0;Großschirma, Stadt;5580.0;9603.0;3.0
2;14;5.0;22.0;220.0;Großweitzschen;2739.0;4720.0;3.0
2;14;5.0;22.0;230.0;Hainichen, Stadt;8531.0;9661.0;2.0
2;14;5.0;22.0;240.0;Halsbrücke;5101.0;9633.0;3.0
2;14;5.0;22.0;250.0;Hartha, Stadt;6891.0;4746.0;3.0
2;14;5.0;22.0;260.0;Hartmannsdorf;4421.0;9232.0;2.0
2;14;5.0;22.0;290.0;Königshain-Wiederau;2580.0;9306.0;3.0
2;14;5.0;22.0;300.0;Kriebstein;2058.0;9648.0;3.0
2;14;5.0;22.0;310.0;Leisnig, Stadt;8156.0;4703.0;2.0
2;14;5.0;22.0;320.0;Leubsdorf;3257.0;9573.0;3.0
2;14;5.0;22.0;330.0;Lichtenau;7063.0;9244.0;3.0
2;14;5.0;22.0;350.0;Lunzenau, Stadt;4133.0;9328.0;3.0
2;14;5.0;22.0;390.0;Mulda/Sa.;2457.0;9619.0;3.0
2;14;5.0;22.0;400.0;Neuhausen/Erzgeb.;2555.0;9544.0;3.0
2;14;5.0;22.0;420.0;Niederwiesa;4859.0;9577.0;3.0
2;14;5.0;22.0;430.0;Oberschöna;3325.0;9600.0;3.0
2;14;5.0;22.0;440.0;Oederan, Stadt;7876.0;9569.0;2.0
2;14;5.0;22.0;460.0;Penig, Stadt;8624.0;9322.0;2.0
2;14;5.0;22.0;470.0;Rechenberg-Bienenmühle;1823.0;9623.0;3.0
2;14;5.0;22.0;480.0;Reinsberg;2810.0;9629.0;3.0
2;14;5.0;22.0;500.0;Rossau;3492.0;9661.0;3.0
2;14;5.0;22.0;510.0;Roßwein, Stadt;7410.0;4741.0;2.0
2;14;5.0;22.0;540.0;Striegistal;4623.0;9661.0;3.0
2;14;5.0;22.0;570.0;Waldheim, Stadt;8845.0;4736.0;2.0
2;14;5.0;22.0;580.0;Wechselburg;1766.0;9306.0;3.0
2;14;5.0;22.0;60.0;Burgstädt, Stadt;10530.0;9217.0;2.0
2;14;5.0;22.0;380.0;Mühlau;2135.0;9241.0;2.0
2;14;5.0;22.0;550.0;Taura;2340.0;9249.0;2.0
2;14;5.0;22.0;340.0;Lichtenberg/Erzgeb.;2673.0;9638.0;3.0
2;14;5.0;22.0;590.0;Weißenborn/Erzgeb.;2489.0;9600.0;3.0
2;14;5.0;22.0;10.0;Altmittweida;1872.0;9648.0;2.0
2;14;5.0;22.0;360.0;Mittweida, Stadt, Hochschulstadt;14356.0;9648.0;2.0
2;14;5.0;22.0;450.0;Ostrau;3521.0;4749.0;3.0
2;14;5.0;22.0;620.0;Zschaitz-Ottewig;1311.0;4720.0;3.0
2;14;5.0;22.0;280.0;Königsfeld;1379.0;9306.0;3.0
2;14;5.0;22.0;490.0;Rochlitz, Stadt;5658.0;9306.0;2.0
2;14;5.0;22.0;530.0;Seelitz;1669.0;9306.0;3.0
2;14;5.0;22.0;600.0;Zettlitz;668.0;9306.0;3.0
2;14;5.0;22.0;90.0;Dorfchemnitz;1536.0;9619.0;3.0
2;14;5.0;22.0;520.0;Sayda, Stadt;1713.0;9619.0;3.0
3;14;5.0;23.0;10.0;Adorf/Vogtl., Stadt;4841.0;8626.0;3.0
3;14;5.0;23.0;20.0;Auerbach/Vogtl., Stadt;18048.0;8209.0;2.0
3;14;5.0;23.0;30.0;Bad Brambach;1807.0;8648.0;3.0
3;14;5.0;23.0;40.0;Bad Elster, Stadt;3638.0;8645.0;3.0
3;14;5.0;23.0;90.0;Ellefeld;2529.0;8236.0;2.0
3;14;5.0;23.0;100.0;Elsterberg, Stadt;3828.0;7985.0;3.0
3;14;5.0;23.0;160.0;Klingenthal, Stadt;8035.0;8248.0;2.0
3;14;5.0;23.0;170.0;Lengenfeld, Stadt;7042.0;8485.0;3.0
3;14;5.0;23.0;200.0;Markneukirchen, Stadt;7362.0;8258.0;2.0
3;14;5.0;23.0;245.0;Muldenhammer;3017.0;8262.0;3.0
3;14;5.0;23.0;280.0;Neumark;2971.0;8496.0;3.0
3;14;5.0;23.0;310.0;Pausa-Mühltroff, Stadt;4845.0;7952.0;3.0
3;14;5.0;23.0;320.0;Plauen, Stadt;64014.0;8523.0;1.0
3;14;5.0;23.0;330.0;Pöhl;2479.0;8543.0;3.0
3;14;5.0;23.0;360.0;Rodewisch, Stadt;6361.0;8228.0;2.0
3;14;5.0;23.0;365.0;Rosenbach/Vogtl.;4111.0;8539.0;3.0
3;14;5.0;23.0;380.0;Steinberg;2702.0;8237.0;3.0
3;14;5.0;23.0;450.0;Weischlitz;5753.0;8538.0;3.0
3;14;5.0;23.0;120.0;Falkenstein/Vogtl., Stadt;7888.0;8223.0;2.0
3;14;5.0;23.0;130.0;Grünbach;1645.0;8223.0;2.0
3;14;5.0;23.0;290.0;Neustadt/Vogtl.;979.0;8223.0;3.0
3;14;5.0;23.0;190.0;Limbach;1420.0;8491.0;3.0
3;14;5.0;23.0;260.0;Netzschkau, Stadt;3770.0;8491.0;2.0
3;14;5.0;23.0;60.0;Bösenbrunn;1131.0;8606.0;3.0
3;14;5.0;23.0;80.0;Eichigt;1165.0;8626.0;3.0
3;14;5.0;23.0;300.0;Oelsnitz/Vogtl., Stadt;10045.0;8606.0;2.0
3;14;5.0;23.0;440.0;Triebel/Vogtl.;1215.0;8606.0;3.0
3;14;5.0;23.0;150.0;Heinsdorfergrund;1948.0;8468.0;3.0
3;14;5.0;23.0;340.0;Reichenbach im Vogtland, Stadt;20198.0;8468.0;2.0
3;14;5.0;23;350.0;Reuth bei Plauen;1079.0;8538.0;3
3;14;5.0;23.0;230.0;Mühlental;1280.0;8261.0;3.0
3;14;5.0;23.0;370.0;Schöneck/Vogtl., Stadt;3114.0;8261.0;3.0
3;14;5.0;23.0;270.0;Neuensalz;2093.0;8541.0;3.0
3;14;5.0;23.0;430.0;Treuen, Stadt;7790.0;8233.0;3.0
3;14;5.0;23.0;50.0;Bergen;962.0;8239.0;3.0
3;14;5.0;23.0;410.0;Theuma;1036.0;8541.0;3.0
3;14;5.0;23.0;420.0;Tirpersdorf;1359.0;8606.0;3.0
3;14;5.0;23.0;460.0;Werda;1484.0;8223.0;3.0
4;14;5.0;24.0;20.0;Callenberg;4932.0;9337.0;3.0
4;14;5.0;24.0;60.0;Fraureuth;5065.0;8427.0;2.0
4;14;5.0;24.0;70.0;Gersdorf;3926.0;9355.0;2.0
