AGS,UJAHR,UMONAT,UANZAHL,Bezirk,RB,Kreis,Gem,Bevölkerung,PLZ,Grad_Verstädterung,RKHaftpflicht,RKVollkasko,RKTeilkasko,Anz_Fahrzeuge,ID
14511000,2016,1,53,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,141297,0
14511000,2016,2,54,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,141297,1
14511000,2016,3,50,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,141297,2
14511000,2016,4,73,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,141297,3
14511000,2016,5,72,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,141297,4
14511000,2016,6,89,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,141297,5
14511000,2016,7,67,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,141297,6
14511000,2016,8,78,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,141297,7
14511000,2016,9,67,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,141297,8
14511000,2016,10,68,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,141297,9
14511000,2016,11,66,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,141297,10
14511000,2016,12,61,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,141297,11
14511000,2017,1,46,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,143039,12
14511000,2017,2,39,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,143039,13
14511000,2017,3,51,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,143039,14
14511000,2017,4,50,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,143039,15
14511000,2017,5,71,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,143039,16
14511000,2017,6,75,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,143039,17
14511000,2017,7,61,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,143039,18
14511000,2017,8,81,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,143039,19
14511000,2017,9,66,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,143039,20
14511000,2017,10,63,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,143039,21
14511000,2017,11,70,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,143039,22
14511000,2017,12,53,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,143039,23
14511000,2018,1,58,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,144226,24
14511000,2018,2,38,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,144226,25
14511000,2018,3,54,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,144226,26
14511000,2018,4,68,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,144226,27
14511000,2018,5,70,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,144226,28
14511000,2018,6,74,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,144226,29
14511000,2018,7,72,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,144226,30
14511000,2018,8,59,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,144226,31
14511000,2018,9,72,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,144226,32
14511000,2018,10,57,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,144226,33
14511000,2018,11,58,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,144226,34
14511000,2018,12,61,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,144226,35
14511000,2019,1,63,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,145486,36
14511000,2019,2,47,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,145486,37
14511000,2019,3,70,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,145486,38
14511000,2019,4,66,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,145486,39
14511000,2019,5,53,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,145486,40
14511000,2019,6,83,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,145486,41
14511000,2019,7,64,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,145486,42
14511000,2019,8,88,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,145486,43
14511000,2019,9,73,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,145486,44
14511000,2019,10,72,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,145486,45
14511000,2019,11,70,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,145486,46
14511000,2019,12,58,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,145486,47
14511000,2020,1,63,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,146644,48
14511000,2020,2,36,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,146644,49
14511000,2020,3,47,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,146644,50
14511000,2020,4,26,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,146644,51
14511000,2020,5,54,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,146644,52
14511000,2020,6,73,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,146644,53
14511000,2020,7,64,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,146644,54
14511000,2020,8,61,0,5.0,11,0,244401.0,9111.0,1.0,2,4,9,146644,55
