AGS,UJAHR,UMONAT,Bevölkerung,PLZ,Unfälle
14511000,2020,1,244401.0,9111.0,59.0
14521010,2020,1,3676.0,9439.0,3.0
14521020,2020,1,19393.0,9456.0,7.0
14521030,2020,1,19124.0,8280.0,6.0
14521035,2020,1,20084.0,8280.0,7.0
14521040,2020,1,2432.0,9392.0,2.0
14521050,2020,1,5649.0,8301.0,3.0
14521060,2020,1,2288.0,9471.0,2.0
14521080,2020,1,2200.0,8324.0,2.0
14521090,2020,1,972.0,9437.0,2.0
14521110,2020,1,5157.0,8359.0,4.0
14521120,2020,1,6091.0,9235.0,4.0
14521130,2020,1,3976.0,9474.0,3.0
14521140,2020,1,970.0,9548.0,2.0
14521150,2020,1,5080.0,9430.0,4.0
14521160,2020,1,4638.0,9427.0,3.0
14521170,2020,1,7193.0,8309.0,5.0
14521180,2020,1,2809.0,9481.0,3.0
14521200,2020,1,4104.0,9423.0,3.0
14521210,2020,1,3385.0,9468.0,3.0
14521220,2020,1,3749.0,9405.0,3.0
14521230,2020,1,1897.0,9390.0,2.0
14521240,2020,1,2773.0,9432.0,3.0
14521250,2020,1,3353.0,9518.0,3.0
14521260,2020,1,5768.0,8344.0,4.0
14521270,2020,1,3339.0,9579.0,3.0
14521280,2020,1,777.0,9526.0,2.0
14521290,2020,1,3461.0,9394.0,3.0
14521310,2020,1,5450.0,9387.0,4.0
14521320,2020,1,3879.0,8349.0,3.0
14521330,2020,1,2569.0,9477.0,3.0
14521340,2020,1,2196.0,9471.0,3.0
14521355,2020,1,8524.0,8315.0,4.0
14521370,2020,1,8074.0,8294.0,4.0
14521380,2020,1,7907.0,9385.0,4.0
14521390,2020,1,16716.0,9496.0,6.0
14521400,2020,1,3388.0,9456.0,3.0
14521410,2020,1,7000.0,9221.0,4.0
14521420,2020,1,1310.0,9366.0,2.0
14521430,2020,1,2573.0,9399.0,2.0
14521440,2020,1,2055.0,9484.0,2.0
14521450,2020,1,10983.0,9376.0,5.0
14521460,2020,1,10694.0,9526.0,4.0
14521470,2020,1,3293.0,9526.0,2.0
14521495,2020,1,7472.0,9514.0,4.0
14521500,2020,1,4948.0,8352.0,2.0
14521510,2020,1,2054.0,9481.0,2.0
14521520,2020,1,2345.0,9487.0,2.0
14521530,2020,1,13790.0,8289.0,5.0
14521540,2020,1,4289.0,8304.0,2.0
14521550,2020,1,16168.0,8340.0,5.0
14521560,2020,1,6307.0,9465.0,2.0
14521570,2020,1,2076.0,9548.0,2.0
14521590,2020,1,11235.0,9366.0,3.0
14521600,2020,1,3104.0,8328.0,1.0
14521610,2020,1,1079.0,9468.0,1.0
14521620,2020,1,5968.0,9380.0,2.0
14521630,2020,1,3207.0,9488.0,1.0
14521640,2020,1,5056.0,9419.0,2.0
14521670,2020,1,3886.0,9429.0,1.0
14521690,2020,1,9024.0,9405.0,2.0
14521700,2020,1,5165.0,8321.0,1.0
14521710,2020,1,11861.0,8297.0,2.0
14522010,2020,1,1872.0,9648.0,1.0
14522020,2020,1,4508.0,9573.0,2.0
14522035,2020,1,5622.0,9627.0,2.0
14522050,2020,1,9145.0,9618.0,4.0
14522060,2020,1,10530.0,9217.0,4.0
14522070,2020,1,3004.0,9236.0,2.0
14522080,2020,1,23467.0,4720.0,5.0
14522090,2020,1,1536.0,9619.0,2.0
14522110,2020,1,4013.0,9575.0,2.0
14522120,2020,1,3141.0,9306.0,2.0
14522140,2020,1,10607.0,9557.0,4.0
14522150,2020,1,13784.0,9669.0,5.0
14522170,2020,1,2733.0,9623.0,3.0
14522180,2020,1,39948.0,9599.0,9.0
14522190,2020,1,4212.0,9326.0,3.0
14522200,2020,1,2465.0,9618.0,3.0
14522210,2020,1,5580.0,9603.0,4.0
14522220,2020,1,2739.0,4720.0,4.0
14522230,2020,1,8531.0,9661.0,4.0
14522240,2020,1,5101.0,9633.0,4.0
14522250,2020,1,6891.0,4746.0,4.0
14522260,2020,1,4421.0,9232.0,3.0
14522280,2020,1,1379.0,9306.0,3.0
14522290,2020,1,2580.0,9306.0,3.0
14522300,2020,1,2058.0,9648.0,3.0
14522310,2020,1,8156.0,4703.0,3.0
14522320,2020,1,3257.0,9573.0,4.0
14522330,2020,1,7063.0,9244.0,4.0
14522340,2020,1,2673.0,9638.0,3.0
14522350,2020,1,4133.0,9328.0,4.0
14522360,2020,1,14356.0,9648.0,4.0
14522380,2020,1,2135.0,9241.0,2.0
14522390,2020,1,2457.0,9619.0,3.0
14522400,2020,1,2555.0,9544.0,3.0
14522420,2020,1,4859.0,9577.0,4.0
14522430,2020,1,3325.0,9600.0,3.0
14522440,2020,1,7876.0,9569.0,3.0
14522450,2020,1,3521.0,4749.0,2.0
14522460,2020,1,8624.0,9322.0,3.0
14522470,2020,1,1823.0,9623.0,2.0
14522480,2020,1,2810.0,9629.0,3.0
14522490,2020,1,5658.0,9306.0,2.0
14522500,2020,1,3492.0,9661.0,3.0
14522510,2020,1,7410.0,4741.0,2.0
14522520,2020,1,1713.0,9619.0,2.0
14522530,2020,1,1669.0,9306.0,2.0
14522540,2020,1,4623.0,9661.0,2.0
14522550,2020,1,2340.0,9249.0,1.0
14522570,2020,1,8845.0,4736.0,2.0
14522580,2020,1,1766.0,9306.0,1.0
14522590,2020,1,2489.0,9600.0,2.0
14522600,2020,1,668.0,9306.0,1.0
