Bezeichnung;Bezirk;Jahr;Absolut
Chemnitz, Stadt;0;2020;146644
Erzgebirgskreis;1;2020;251576
Mittelsachsen;2;2020;224852
Vogtlandkreis;3;2020;170642
Zwickau;4;2020;226508
Dresden, Stadt;5;2020;265836
Bautzen;6;2020;223869
Goerlitz;7;2020;176271
Meissen;8;2020;170076
Saechs. Schweiz-Osterzgeb.;9;2020;176874
Leipzig, Stadt;10;2020;263627
Leipzig;11;2020;189057
Nordsachsen;12;2020;144781
Chemnitz, Stadt;0;2019;145486
Erzgebirgskreis;1;2019;250162
Mittelsachsen;2;2019;223392
Vogtlandkreis;3;2019;169327
Zwickau;4;2019;224751
Dresden, Stadt;5;2019;262365
Bautzen;6;2019;221744
Goerlitz;7;2019;174938
Meissen;8;2019;168177
Saechs. Schweiz-Osterzgeb.;9;2019;174541
Leipzig, Stadt;10;2019;259804
Leipzig;11;2019;187128
Nordsachsen;12;2019;143018
Chemnitz, Stadt;0;2018;144226
Erzgebirgskreis;1;2018;248347
Mittelsachsen;2;2018;222714
Vogtlandkreis;3;2018;167893
Zwickau;4;2018;223260
Dresden, Stadt;5;2018;260035
Bautzen;6;2018;219896
Goerlitz;7;2018;173501
Meissen;8;2018;166499
Saechs. Schweiz-Osterzgeb.;9;2018;172676
Leipzig, Stadt;10;2018;255092
Leipzig;11;2018;185141
Nordsachsen;12;2018;141115
Chemnitz, Stadt;0;2017;143039
Erzgebirgskreis;1;2017;246907
Mittelsachsen;2;2017;221530
Vogtlandkreis;3;2017;166453
Zwickau;4;2017;221609
Dresden, Stadt;5;2017;256894
Bautzen;6;2017;217917
Goerlitz;7;2017;172376
Meissen;8;2017;164981
Saechs. Schweiz-Osterzgeb.;9;2017;170984
Leipzig, Stadt;10;2017;250184
Leipzig;11;2017;183003
Nordsachsen;12;2017;139601
Chemnitz, Stadt;0;2016;141297
Erzgebirgskreis;1;2016;245029
Mittelsachsen;2;2016;220168
Vogtlandkreis;3;2016;164993
Zwickau;4;2016;219977
Dresden, Stadt;5;2016;253339
Bautzen;6;2016;216127
Goerlitz;7;2016;170924
Meissen;8;2016;163385
Saechs. Schweiz-Osterzgeb.;9;2016;168888
Leipzig, Stadt;10;2016;245315
Leipzig;11;2016;180995
Nordsachsen;12;2016;138317
